key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_AKTKZA017_04196_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>新港的凯菲剌孜希望有人帮忙。
1,TEXT_AKTKZA017_04196_SEQ_01,
2,TEXT_AKTKZA017_04196_SEQ_02,
3,TEXT_AKTKZA017_04196_SEQ_03,
4,TEXT_AKTKZA017_04196_SEQ_04,
5,TEXT_AKTKZA017_04196_SEQ_05,
6,TEXT_AKTKZA017_04196_SEQ_06,
7,TEXT_AKTKZA017_04196_SEQ_07,
8,TEXT_AKTKZA017_04196_SEQ_08,
9,TEXT_AKTKZA017_04196_SEQ_09,
10,TEXT_AKTKZA017_04196_SEQ_10,
11,TEXT_AKTKZA017_04196_SEQ_11,
12,TEXT_AKTKZA017_04196_SEQ_12,
13,TEXT_AKTKZA017_04196_SEQ_13,
14,TEXT_AKTKZA017_04196_SEQ_14,
15,TEXT_AKTKZA017_04196_SEQ_15,
16,TEXT_AKTKZA017_04196_SEQ_16,
17,TEXT_AKTKZA017_04196_SEQ_17,
18,TEXT_AKTKZA017_04196_SEQ_18,
19,TEXT_AKTKZA017_04196_SEQ_19,
20,TEXT_AKTKZA017_04196_SEQ_20,
21,TEXT_AKTKZA017_04196_SEQ_21,
22,TEXT_AKTKZA017_04196_SEQ_22,
23,TEXT_AKTKZA017_04196_SEQ_23,
24,TEXT_AKTKZA017_04196_TODO_00,将木箱运到<hex:02280CFF05>EObj<hex:F61EB34B0103>
25,TEXT_AKTKZA017_04196_TODO_01,向凯菲剌孜报告
26,TEXT_AKTKZA017_04196_TODO_02,
27,TEXT_AKTKZA017_04196_TODO_03,
28,TEXT_AKTKZA017_04196_TODO_04,
29,TEXT_AKTKZA017_04196_TODO_05,
30,TEXT_AKTKZA017_04196_TODO_06,
31,TEXT_AKTKZA017_04196_TODO_07,
32,TEXT_AKTKZA017_04196_TODO_08,
33,TEXT_AKTKZA017_04196_TODO_09,
34,TEXT_AKTKZA017_04196_TODO_10,
35,TEXT_AKTKZA017_04196_TODO_11,
36,TEXT_AKTKZA017_04196_TODO_12,
37,TEXT_AKTKZA017_04196_TODO_13,
38,TEXT_AKTKZA017_04196_TODO_14,
39,TEXT_AKTKZA017_04196_TODO_15,
40,TEXT_AKTKZA017_04196_TODO_16,
41,TEXT_AKTKZA017_04196_TODO_17,
42,TEXT_AKTKZA017_04196_TODO_18,
43,TEXT_AKTKZA017_04196_TODO_19,
44,TEXT_AKTKZA017_04196_TODO_20,
45,TEXT_AKTKZA017_04196_TODO_21,
46,TEXT_AKTKZA017_04196_TODO_22,
47,TEXT_AKTKZA017_04196_TODO_23,
48,TEXT_AKTKZA017_04196_QEFIRAZ_000_000,我说旅行者啊。<hex:02100103>能不能帮我点忙啊。
49,TEXT_AKTKZA017_04196_QEFIRAZ_000_001,我正想搬运装着商品的木箱时，<hex:02100103>不小心伤到腰了……<hex:02100103>你能不能替我搬运一下，我会给出报酬的。
50,TEXT_AKTKZA017_04196_QEFIRAZ_000_002,感谢你答应我的请求。<hex:02100103>我在地图上标上印记了，<hex:02100103>请你把装有果实的木箱搬到那里去。
51,TEXT_AKTKZA017_04196_QEFIRAZ_000_003,搬完以后就来跟我说一声。<hex:02100103>请注意不要让箱子掉在地上。
52,TEXT_AKTKZA017_04196_SYSTEM_000_004,在限制时间内将木箱运到<hex:02280CFF05>EObj<hex:F61EB34B0103>。
53,TEXT_AKTKZA017_04196_SYSTEM_000_005,搬运状态的持续时间是120秒。<hex:02100103>可持续时间结束的话，搬运就会失败。<hex:02100103>需要从开始地点重新开始挑战。
54,TEXT_AKTKZA017_04196_QEFIRAZ_000_006,什么，你把木箱掉在地上了吗！<hex:02100103>喂喂，可千万别跟我说你也伤到腰了。<hex:02100103>我会把果实重新装到备用的木箱里，你就再搬一次吧。
55,TEXT_AKTKZA017_04196_QEFIRAZ_100_006,让你替我真是不好意思。<hex:02100103>请把木箱搬到地图上标出来的地方。
56,TEXT_AKTKZA017_04196_SYSTEM_000_010,搬运完了木箱！<hex:02100103>向凯菲剌孜报告。
57,TEXT_AKTKZA017_04196_SYSTEM_000_011,将搬运中的木箱掉落在了地上……<hex:02100103>向凯菲剌孜寻求指示。
58,TEXT_AKTKZA017_04196_QEFIRAZ_000_015,看样子是搬完了啊。<hex:02100103>感谢你帮忙。
59,TEXT_AKTKZA017_04196_QEFIRAZ_000_016,那个木箱里装的果实是萨维奈岛的名产。<hex:02100103>这里高温湿气又大，所以出产的果实远比其他地方的甘甜。
60,TEXT_AKTKZA017_04196_QEFIRAZ_000_017,原本应该是发往海都利姆萨·罗敏萨的货物，<hex:02100103>可就在即将出货的时候对方却突然说不要了。<hex:02100103>能在彻底腐坏前搬到阴凉的地方也算是万幸了。
61,TEXT_AKTKZA017_04196_QEFIRAZ_000_018,那个什么，只要活着肯定会遇到众多的困难！<hex:02100103>有时候会遇上伤到腰动不了的日子，<hex:02100103>也有生意不顺利的时候。
62,TEXT_AKTKZA017_04196_QEFIRAZ_000_019,不过运势也不是说一成不变的，偶尔会遇见幸运的事情呢。<hex:02100103>就像你出现在了我这个发愁的人面前一样，<hex:02100103>真是谢谢你，请收下你的报酬。
63,TEXT_AKTKZA017_04196_MERCHANT04196_000_000,
64,TEXT_AKTKZA017_04196_MERCHANT04196_000_001,
65,TEXT_AKTKZA017_04196_MERCHANT04196_000_002,
66,TEXT_AKTKZA017_04196_MERCHANT04196_000_003,
67,TEXT_AKTKZA017_04196_MERCHANT04196_000_006,
68,TEXT_AKTKZA017_04196_MERCHANT04196_100_006,
69,TEXT_AKTKZA017_04196_MERCHANT04196_000_015,
70,TEXT_AKTKZA017_04196_MERCHANT04196_000_016,
71,TEXT_AKTKZA017_04196_MERCHANT04196_000_017,
72,TEXT_AKTKZA017_04196_MERCHANT04196_000_018,
73,TEXT_AKTKZA017_04196_MERCHANT04196_000_019,
