key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AKTKZD015_04239_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整<hex:0249020103><hex:0248020103><hex:02100103>碎璃营地的救援队的斥候正在寻找魔导装甲的驾驶员。
1,TEXT_AKTKZD015_04239_SEQ_01,
2,TEXT_AKTKZD015_04239_SEQ_02,
3,TEXT_AKTKZD015_04239_SEQ_03,
4,TEXT_AKTKZD015_04239_SEQ_04,
5,TEXT_AKTKZD015_04239_SEQ_05,
6,TEXT_AKTKZD015_04239_SEQ_06,
7,TEXT_AKTKZD015_04239_SEQ_07,
8,TEXT_AKTKZD015_04239_SEQ_08,
9,TEXT_AKTKZD015_04239_SEQ_09,
10,TEXT_AKTKZD015_04239_SEQ_10,
11,TEXT_AKTKZD015_04239_SEQ_11,
12,TEXT_AKTKZD015_04239_SEQ_12,
13,TEXT_AKTKZD015_04239_SEQ_13,
14,TEXT_AKTKZD015_04239_SEQ_14,
15,TEXT_AKTKZD015_04239_SEQ_15,
16,TEXT_AKTKZD015_04239_SEQ_16,
17,TEXT_AKTKZD015_04239_SEQ_17,
18,TEXT_AKTKZD015_04239_SEQ_18,
19,TEXT_AKTKZD015_04239_SEQ_19,
20,TEXT_AKTKZD015_04239_SEQ_20,
21,TEXT_AKTKZD015_04239_SEQ_21,
22,TEXT_AKTKZD015_04239_SEQ_22,
23,TEXT_AKTKZD015_04239_SEQ_23,
24,TEXT_AKTKZD015_04239_TODO_00,和资深魔导骑兵对话
25,TEXT_AKTKZD015_04239_TODO_01,再次和资深魔导骑兵对话
26,TEXT_AKTKZD015_04239_TODO_02,和救援队的斥候对话
27,TEXT_AKTKZD015_04239_TODO_03,
28,TEXT_AKTKZD015_04239_TODO_04,
29,TEXT_AKTKZD015_04239_TODO_05,
30,TEXT_AKTKZD015_04239_TODO_06,
31,TEXT_AKTKZD015_04239_TODO_07,
32,TEXT_AKTKZD015_04239_TODO_08,
33,TEXT_AKTKZD015_04239_TODO_09,
34,TEXT_AKTKZD015_04239_TODO_10,
35,TEXT_AKTKZD015_04239_TODO_11,
36,TEXT_AKTKZD015_04239_TODO_12,
37,TEXT_AKTKZD015_04239_TODO_13,
38,TEXT_AKTKZD015_04239_TODO_14,
39,TEXT_AKTKZD015_04239_TODO_15,
40,TEXT_AKTKZD015_04239_TODO_16,
41,TEXT_AKTKZD015_04239_TODO_17,
42,TEXT_AKTKZD015_04239_TODO_18,
43,TEXT_AKTKZD015_04239_TODO_19,
44,TEXT_AKTKZD015_04239_TODO_20,
45,TEXT_AKTKZD015_04239_TODO_21,
46,TEXT_AKTKZD015_04239_TODO_22,
47,TEXT_AKTKZD015_04239_TODO_23,
48,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_000,英雄阁下，请恕我无礼，<hex:02100103>阁下应该会驾驶魔导装甲吧？
49,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_001,啊，太好了！<hex:02100103>是这样的，我们为了调查城区的受损情况，<hex:02100103>想要从空中视察一遍……
50,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_002,有一位原属于第一军团的魔导骑兵提出，<hex:02100103>可以利用飞行型魔导装甲进行调查。
51,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_003,结果在调查开始的时候，<hex:02100103>原本负责调查的救援队队员却因伤无法行动了……<hex:02100103>所以我现在正在寻找能够驾驶魔导装甲的人。
52,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_004,那位资深魔导骑兵就在第四市外站，<hex:02100103>目前应该正在一边整备魔导装甲一边待命。<hex:02100103>就麻烦阁下帮忙协助调查了！
53,TEXT_AKTKZD015_04239_ILSABARDSCOUT04239_000_010,那位资深魔导骑兵就在第四市外站，<hex:02100103>目前应该正在一边整备魔导装甲一边待命。<hex:02100103>就麻烦阁下帮忙协助调查了！
54,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_020,没想到是艾欧泽亚的英雄亲自前来。<hex:02100103>不过这也不奇怪，毕竟艾欧泽亚能搭乘魔导装甲的人也不多。
55,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_021,喂喂，传言说你曾经搭乘古代亚拉戈帝国遗物改造的机体<hex:02100103>与叛乱的第七军团大战了一场是真的吗？<hex:02100103>我是听救援队的人说的，真令人惊讶。
56,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_022,总之，这次伊尔萨巴德救援队交给我的任务就是<hex:02100103>确认帝都的受损状况。
57,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_023,这种飞行型魔导装甲从属于第一军团，<hex:02100103>所以那些被弃置在帝都的无人魔导兵器也不会对它发动攻击，<hex:02100103>可以放心调查。
58,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_024,你准备好了的话，再跟我打声招呼就行了。
59,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_030,那我们现在就准备搭乘飞行型魔导装甲<hex:02100103>从空中进行调查任务了。<hex:02100103>你已经准备好了？
60,TEXT_AKTKZD015_04239_Q1_000_000,要乘上飞行型魔导装甲进行移动吗？
61,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_100_030,那我们这就出发吧。
62,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_110_030,我明白了，你准备好了再跟我说一声。
63,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_031,虽然我已经提前做好了心理准备，<hex:02100103>不过这个受损状况还是超出了我的想象啊……<hex:02100103>我们再去北边看看吧。
64,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_032,那个高架现在也塌了啊。<hex:02100103>还是把那一片划为禁区吧，等下必须报告一下。
65,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_033,这是帝国新宫。<hex:02100103>将两栋高层建筑连接起来，是象征着新技术的建筑物。
66,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_034,想要探明建筑内的受损状况恐怕只有我们两个人不够，<hex:02100103>等着再加派人手调查吧。
67,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_035,这是加雷马共和国时期留下的建筑物了，看起来受损并不严重。<hex:02100103>据说是在建筑材料中使用了能够抵御魔法攻击的绝灵材料。
68,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_036,不过和现在的建筑相比，<hex:02100103>这些建筑对魔导兵器类的防御能力就没那么好了。<hex:02100103>也算是各有优劣吧。
69,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_037,好了，重点地区都巡视过了。<hex:02100103>我们回碎璃营地吧。
70,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_040,谢谢你愿意一起来，<hex:022903EB0203>阁下。
71,TEXT_AKTKZD015_04239_GARLEANCAVALRY04239_000_041,看着原本敌对的艾欧泽亚人协助我们<hex:02100103>调查我国的受损状况，并向我们伸出援手，<hex:02100103>真是令人感慨万千。
