key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_AKTKMB116_04395_SEQ_00,碎璃营地的露琪亚看到冒险者平安归来松了一口气。
1,TEXT_AKTKMB116_04395_SEQ_01,与露琪亚一行人一同制定了巴别塔的进攻计划。和帝都开放广场的莉瑟谈谈。
2,TEXT_AKTKMB116_04395_SEQ_02,和突击部队的伙伴汇合了。和帝都恩塞拉都斯魔导工厂的皮平谈谈。
3,TEXT_AKTKMB116_04395_SEQ_03,皮平让冒险者在行动开始之前稍待片刻。在恩塞拉都斯魔导工厂货物站的<hex:02280CFF05>EObj<hex:F61EB3D00103>等待。<hex:02100103>在恩塞拉都斯魔导工厂的莲天之泪的救援队员的引导下前往货物站。
4,TEXT_AKTKMB116_04395_SEQ_04,作战行动开始。与伊尔萨巴德救援队的伙伴们一起突破巴别塔。<hex:02100103><hex:02100103>※通过和进入点附近的同伴对话并选择“编成小队”，或选择快捷指令里的“剧情辅助器”，可以和非玩家同伴一同进入副本。<hex:02100103>※和玩家一同进入时请通过任务搜索器参加。
5,TEXT_AKTKMB116_04395_SEQ_05,打倒了巴别塔中的阿尼玛。继续向上层前进，寻找芝诺斯和法丹尼尔。若是离开了巴别塔，恩塞拉都斯魔导工厂前的莲天之泪的救援队员会带领冒险者前往巴别塔。
6,TEXT_AKTKMB116_04395_SEQ_06,终于追上了终末使徒二人组，却被他们逃往了月球。和巴别塔神门之间的阿尔菲诺谈谈。
7,TEXT_AKTKMB116_04395_SEQ_07,冒险者与阿尔菲诺互为彼此加油。在佐迪亚克突破封印之前，阻止终末使徒！
8,TEXT_AKTKMB116_04395_SEQ_08,
9,TEXT_AKTKMB116_04395_SEQ_09,
10,TEXT_AKTKMB116_04395_SEQ_10,
11,TEXT_AKTKMB116_04395_SEQ_11,
12,TEXT_AKTKMB116_04395_SEQ_12,
13,TEXT_AKTKMB116_04395_SEQ_13,
14,TEXT_AKTKMB116_04395_SEQ_14,
15,TEXT_AKTKMB116_04395_SEQ_15,
16,TEXT_AKTKMB116_04395_SEQ_16,
17,TEXT_AKTKMB116_04395_SEQ_17,
18,TEXT_AKTKMB116_04395_SEQ_18,
19,TEXT_AKTKMB116_04395_SEQ_19,
20,TEXT_AKTKMB116_04395_SEQ_20,
21,TEXT_AKTKMB116_04395_SEQ_21,
22,TEXT_AKTKMB116_04395_SEQ_22,
23,TEXT_AKTKMB116_04395_SEQ_23,
24,TEXT_AKTKMB116_04395_TODO_00,和莉瑟对话
25,TEXT_AKTKMB116_04395_TODO_01,和皮平对话
26,TEXT_AKTKMB116_04395_TODO_02,在恩塞拉都斯魔导工厂货物站的<hex:02280CFF05>EObj<hex:F61EB3D00103>等待
27,TEXT_AKTKMB116_04395_TODO_03,突破魔导神门巴别塔
28,TEXT_AKTKMB116_04395_TODO_04,突破魔导神门巴别塔
29,TEXT_AKTKMB116_04395_TODO_05,和阿尔菲诺对话
30,TEXT_AKTKMB116_04395_TODO_06,
31,TEXT_AKTKMB116_04395_TODO_07,
32,TEXT_AKTKMB116_04395_TODO_08,
33,TEXT_AKTKMB116_04395_TODO_09,
34,TEXT_AKTKMB116_04395_TODO_10,
35,TEXT_AKTKMB116_04395_TODO_11,
36,TEXT_AKTKMB116_04395_TODO_12,
37,TEXT_AKTKMB116_04395_TODO_13,
38,TEXT_AKTKMB116_04395_TODO_14,
39,TEXT_AKTKMB116_04395_TODO_15,
40,TEXT_AKTKMB116_04395_TODO_16,
41,TEXT_AKTKMB116_04395_TODO_17,
42,TEXT_AKTKMB116_04395_TODO_18,
43,TEXT_AKTKMB116_04395_TODO_19,
44,TEXT_AKTKMB116_04395_TODO_20,
45,TEXT_AKTKMB116_04395_TODO_21,
46,TEXT_AKTKMB116_04395_TODO_22,
47,TEXT_AKTKMB116_04395_TODO_23,
48,TEXT_AKTKMB116_04395_ALPHINAUD_000_000,不再休息一会吗？<hex:02100103>雅·修特拉说的没错，<hex:02100103>你的身体是最重要的。
49,TEXT_AKTKMB116_04395_ALISAIE_000_005,赶紧召开作战会议吧！<hex:02100103>我不想再看到有人因为那群混蛋受害了！
50,TEXT_AKTKMB116_04395_THANCRED_000_010,我明白，不用说了。<hex:02100103>被敌人占据身体，伤害同伴的事可不只有你经历过。
51,TEXT_AKTKMB116_04395_URIANGER_000_015,你醒了就好……<hex:02100103>有没有觉得哪里不适？
52,TEXT_AKTKMB116_04395_YSHTOLA_000_020,因为巴别塔放射出的强烈以太，<hex:02100103>我的视野也受到了影响……
53,TEXT_AKTKMB116_04395_YSHTOLA_000_021,抱歉，没能及时发现你的不对劲。
54,TEXT_AKTKMB116_04395_GRAHATIA_000_025,太好了……<hex:02100103>我熟悉的英雄终于回来了。
55,TEXT_AKTKMB116_04395_ESTINIEN_000_030,这次事发突然，<hex:02100103>你可别怪我太粗暴啊。
56,TEXT_AKTKMB116_04395_MAXIMA_000_035,之前你使用过的帝国兵的身体没过多久就冰冷了……<hex:02100103>也许是因为本该回到身体的灵魂不复存在了吧。
57,TEXT_AKTKMB116_04395_MAXIMA_000_036,我们已经将遗体妥善安葬了。<hex:02100103>不知他因何被那些恶徒利用，<hex:02100103>现在只希望他能够安息……
58,TEXT_AKTKMB116_04395_LUCIA_000_040,那我们开始讨论吧……<hex:02100103>阁下的遭遇我只是略知一二，<hex:02100103>能请您道明原委吗？
59,TEXT_AKTKMB116_04395_LUCIA_000_041,利用瓦厉斯皇帝的遗体召唤了蛮神阿尼玛，<hex:02100103>这可真是……
60,TEXT_AKTKMB116_04395_YSHTOLA_000_042,这么说，之前疑似巴别塔放射出的以太，<hex:02100103>实际上是由其中的阿尼玛放射出的。
61,TEXT_AKTKMB116_04395_YSHTOLA_000_043,然后，你在和芝诺斯他们说话时听到了阿尼玛的吼声……
62,TEXT_AKTKMB116_04395_YSHTOLA_000_044,看来你被掳去的地方就是他们的大本营巴别塔无误。
63,TEXT_AKTKMB116_04395_LUCIA_000_045,接下来就由我来说吧。
64,TEXT_AKTKMB116_04395_LUCIA_000_046,在和诸位一同推进帝都市民的庇护计划的同时，<hex:02100103>我根据桑克瑞德阁下率领的侦察队获得的情报<hex:02100103>制定了一个攻入巴别塔的作战计划。
65,TEXT_AKTKMB116_04395_LUCIA_000_047,塔内除了众多魔导兵器外，<hex:02100103>还有大量的被精炼者……
66,TEXT_AKTKMB116_04395_LUCIA_000_048,只是，帝都中的道路大多都已被破坏，<hex:02100103>所有人一同出动的话很难通行。
67,TEXT_AKTKMB116_04395_MAXIMA_000_049,因此，我决定将我们目前的战力一分为二，<hex:02100103>分别负责佯攻和突击。
68,TEXT_AKTKMB116_04395_MAXIMA_000_050,佯攻部队就由比较熟悉攻守战的伊修加德和格里达尼亚的诸位<hex:02100103>以及利姆萨·罗敏萨的工匠们组成。
