key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_AKTKMH110_04535_SEQ_00,封宝之间的雅·修特拉因实验成功而松了一口气。
1,TEXT_AKTKMH110_04535_SEQ_01,和雅·修特拉进行了交谈。众人决定委托加隆德炼铁厂强化护魂灵鳞。和神拳痕的年轻的加隆德炼铁厂员工谈谈。
2,TEXT_AKTKMH110_04535_SEQ_02,和年轻的加隆德炼铁厂员工进行了交谈，他为冒险者请来了西德。西德痛快地答应了强化护魂灵鳞一事，并打算让持有第十三世界详细数据和情报的尼禄来帮忙。和萨维奈岛代米尔遗烈乡的尼答娜谈谈。
3,TEXT_AKTKMH110_04535_SEQ_03,炼金术制药堂的炼金术士们似乎也会帮忙制作人造阿托莫斯。面对担心阿珠达雅却不肯袒露心声的弗栗多，纳卜狄恩像对弟弟瓦尔桑进行说教一般，告诉它不能轻易放弃。尼答娜和炼金术士们也纷纷劝说弗栗多，与此同时，埃斯蒂尼安带着麦剌德兄妹出现了。不必再和妹妹分开的麦剌德表达了谢意和喜悦之情，并希望弗栗多也能去找家人。最终，真正让仍旧犹豫不决的弗栗多下定决心的，是它曾对冒险者说过的一句话。“前进之时一定要保护好他们。”这句话让弗栗多最终决定要一边保护拉札罕，一边努力寻找阿珠达雅。和代米尔遗烈乡的雅·修特拉谈谈。
4,TEXT_AKTKMH110_04535_SEQ_04,和雅·修特拉进行了交谈。埃斯蒂尼安也决定一起前往第十三世界，帮忙寻找阿珠达雅。由于这次的目的不是要解决世界危机，因此众人暂且不打算联络其他原拂晓成员。和拉札罕云使宫前的瓦尔桑谈谈。
5,TEXT_AKTKMH110_04535_SEQ_05,瓦尔桑下达指示，让官吏为冒险者一行人提供云使宫的一间客房作为此次冒险的据点。现在堆满了宝物的客房将在喀尔扎尔基金正式开始运作后准备完毕。在做好前往第十三世界的准备之前，继续努力精进。这场崭新的冒险才刚刚开始。
6,TEXT_AKTKMH110_04535_SEQ_06,
7,TEXT_AKTKMH110_04535_SEQ_07,
8,TEXT_AKTKMH110_04535_SEQ_08,
9,TEXT_AKTKMH110_04535_SEQ_09,
10,TEXT_AKTKMH110_04535_SEQ_10,
11,TEXT_AKTKMH110_04535_SEQ_11,
12,TEXT_AKTKMH110_04535_SEQ_12,
13,TEXT_AKTKMH110_04535_SEQ_13,
14,TEXT_AKTKMH110_04535_SEQ_14,
15,TEXT_AKTKMH110_04535_SEQ_15,
16,TEXT_AKTKMH110_04535_SEQ_16,
17,TEXT_AKTKMH110_04535_SEQ_17,
18,TEXT_AKTKMH110_04535_SEQ_18,
19,TEXT_AKTKMH110_04535_SEQ_19,
20,TEXT_AKTKMH110_04535_SEQ_20,
21,TEXT_AKTKMH110_04535_SEQ_21,
22,TEXT_AKTKMH110_04535_SEQ_22,
23,TEXT_AKTKMH110_04535_SEQ_23,
24,TEXT_AKTKMH110_04535_TODO_00,和年轻的加隆德炼铁厂员工对话
25,TEXT_AKTKMH110_04535_TODO_01,和代米尔遗烈乡的尼答娜对话
26,TEXT_AKTKMH110_04535_TODO_02,和雅·修特拉对话
27,TEXT_AKTKMH110_04535_TODO_03,和云使宫前的瓦尔桑对话
28,TEXT_AKTKMH110_04535_TODO_04,
29,TEXT_AKTKMH110_04535_TODO_05,
30,TEXT_AKTKMH110_04535_TODO_06,
31,TEXT_AKTKMH110_04535_TODO_07,
32,TEXT_AKTKMH110_04535_TODO_08,
33,TEXT_AKTKMH110_04535_TODO_09,
34,TEXT_AKTKMH110_04535_TODO_10,
35,TEXT_AKTKMH110_04535_TODO_11,
36,TEXT_AKTKMH110_04535_TODO_12,
37,TEXT_AKTKMH110_04535_TODO_13,
38,TEXT_AKTKMH110_04535_TODO_14,
39,TEXT_AKTKMH110_04535_TODO_15,
40,TEXT_AKTKMH110_04535_TODO_16,
41,TEXT_AKTKMH110_04535_TODO_17,
42,TEXT_AKTKMH110_04535_TODO_18,
43,TEXT_AKTKMH110_04535_TODO_19,
44,TEXT_AKTKMH110_04535_TODO_20,
45,TEXT_AKTKMH110_04535_TODO_21,
46,TEXT_AKTKMH110_04535_TODO_22,
47,TEXT_AKTKMH110_04535_TODO_23,
48,TEXT_AKTKMH110_04535_ESTINIEN_000_001,听你们说完之后，我算是重新认识到虚无界有多危险了。<hex:02100103>可我总觉得弗栗多不愿意去是另有原因。<hex:02100103>也不知道它能不能下定决心……
49,TEXT_AKTKMH110_04535_WARRIOR04532_000_002,您想要乘船前往封宝之间吗？
50,TEXT_AKTKMH110_04535_Q3_000_003,要前往封宝之间吗？
51,TEXT_AKTKMH110_04535_YSHTOLA_000_010,若是尼答娜能顺利制作出人造阿托莫斯，<hex:02100103>我们距离第十三世界就更进一步了。
52,TEXT_AKTKMH110_04535_YSHTOLA_000_011,明明你一开始只是来寻宝的，事情却发展到了这一步……<hex:02100103>接下来你打算怎么办？要继续和我们一起行动吗？
53,TEXT_AKTKMH110_04535_ESTINIEN_000_012,这个嘛……<hex:02100103>说实话，我对异世界什么的没有兴趣，但……
54,TEXT_AKTKMH110_04535_ESTINIEN_000_013,这件事稍后再谈吧，我现在有点其他事要做。
55,TEXT_AKTKMH110_04535_YSHTOLA_000_014,你身边的人怎么都神神秘秘的……<hex:02100103>不过我也没法说别人就是了。
56,TEXT_AKTKMH110_04535_YSHTOLA_000_015,言归正传，在等待人造阿托莫斯完成的这段时间，<hex:02100103>我们也要继续为前往第十三世界做准备。
57,TEXT_AKTKMH110_04535_YSHTOLA_000_016,从刚才的实验中可以得知，灵鳞本身确实是有效果的。<hex:02100103>可既然出现了劣化的征兆，那就有必要加强一下耐久性。
58,TEXT_AKTKMH110_04535_YSHTOLA_000_017,虽然护魂灵鳞是遗烈乡的炼金术士们研发出来的，<hex:02100103>但我认为，能把灵鳞增强到足以应对虚无界环境的另有其人。
59,TEXT_AKTKMH110_04535_Q1_000_000,要说什么？
60,TEXT_AKTKMH110_04535_A1_000_001,是加隆德炼铁厂
61,TEXT_AKTKMH110_04535_A1_000_002,遇事不决，亚拉戈魔科学
62,TEXT_AKTKMH110_04535_A1_000_003,
63,TEXT_AKTKMH110_04535_A1_000_004,你指的是谁……
64,TEXT_AKTKMH110_04535_YSHTOLA_000_019,没错。<hex:02100103>这种时候最可靠的就是加隆德炼铁厂。
65,TEXT_AKTKMH110_04535_YSHTOLA_000_020,我怕被亚拉戈的魔科学改造一番之后，<hex:02100103>护魂灵鳞会飞来飞去冲我们发牢骚……
66,TEXT_AKTKMH110_04535_YSHTOLA_000_021,这种时候，还是老老实实去拜托加隆德炼铁厂的那些人吧。
67,TEXT_AKTKMH110_04535_YSHTOLA_000_022,
68,TEXT_AKTKMH110_04535_YSHTOLA_000_023,
69,TEXT_AKTKMH110_04535_YSHTOLA_000_024,这种时候，当然就要去拜托加隆德炼铁厂的那些人了。
