key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_AKTKMK108_04742_SEQ_00,红月的零正在寻找高贝扎的线索。
1,TEXT_AKTKMK108_04742_SEQ_01,和零进行了交谈。在红月寻找高贝扎的线索。
2,TEXT_AKTKMK108_04742_SEQ_02,就在找到了线索的同时遭到了高贝扎的袭击，阿珠达雅变成了妖异。为了夺回阿珠达雅，打倒高贝扎。<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
3,TEXT_AKTKMK108_04742_SEQ_03,打倒了高贝扎。返回红月。若是离开了红月，可以通过叹息海的南边再次前往红月。
4,TEXT_AKTKMK108_04742_SEQ_04,高贝扎真正的目的是让阿珠达雅与佐迪亚克的以太残渣进行融合，从而诞生出可以破坏掉次元壁的大妖异。面对过于强大的暗之力，一行人不得不选择撤退，和叹息海的零谈谈。
5,TEXT_AKTKMK108_04742_SEQ_05,和零进行了交谈。到底该怎样做才能阻止泽罗姆斯的入侵并拯救阿珠达雅呢……
6,TEXT_AKTKMK108_04742_SEQ_06,
7,TEXT_AKTKMK108_04742_SEQ_07,
8,TEXT_AKTKMK108_04742_SEQ_08,
9,TEXT_AKTKMK108_04742_SEQ_09,
10,TEXT_AKTKMK108_04742_SEQ_10,
11,TEXT_AKTKMK108_04742_SEQ_11,
12,TEXT_AKTKMK108_04742_SEQ_12,
13,TEXT_AKTKMK108_04742_SEQ_13,
14,TEXT_AKTKMK108_04742_SEQ_14,
15,TEXT_AKTKMK108_04742_SEQ_15,
16,TEXT_AKTKMK108_04742_SEQ_16,
17,TEXT_AKTKMK108_04742_SEQ_17,
18,TEXT_AKTKMK108_04742_SEQ_18,
19,TEXT_AKTKMK108_04742_SEQ_19,
20,TEXT_AKTKMK108_04742_SEQ_20,
21,TEXT_AKTKMK108_04742_SEQ_21,
22,TEXT_AKTKMK108_04742_SEQ_22,
23,TEXT_AKTKMK108_04742_SEQ_23,
24,TEXT_AKTKMK108_04742_TODO_00,寻找高贝扎的线索
25,TEXT_AKTKMK108_04742_TODO_01,打倒高贝扎
26,TEXT_AKTKMK108_04742_TODO_02,打倒高贝扎
27,TEXT_AKTKMK108_04742_TODO_03,和零对话
28,TEXT_AKTKMK108_04742_TODO_04,
29,TEXT_AKTKMK108_04742_TODO_05,
30,TEXT_AKTKMK108_04742_TODO_06,
31,TEXT_AKTKMK108_04742_TODO_07,
32,TEXT_AKTKMK108_04742_TODO_08,
33,TEXT_AKTKMK108_04742_TODO_09,
34,TEXT_AKTKMK108_04742_TODO_10,
35,TEXT_AKTKMK108_04742_TODO_11,
36,TEXT_AKTKMK108_04742_TODO_12,
37,TEXT_AKTKMK108_04742_TODO_13,
38,TEXT_AKTKMK108_04742_TODO_14,
39,TEXT_AKTKMK108_04742_TODO_15,
40,TEXT_AKTKMK108_04742_TODO_16,
41,TEXT_AKTKMK108_04742_TODO_17,
42,TEXT_AKTKMK108_04742_TODO_18,
43,TEXT_AKTKMK108_04742_TODO_19,
44,TEXT_AKTKMK108_04742_TODO_20,
45,TEXT_AKTKMK108_04742_TODO_21,
46,TEXT_AKTKMK108_04742_TODO_22,
47,TEXT_AKTKMK108_04742_TODO_23,
48,TEXT_AKTKMK108_04742_YSHTOLA_000_000,高贝扎平时停留的地方吗……<hex:02100103>如果他的以太能有明显的不同，<hex:02100103>用我的这双眼睛寻找起来就会容易许多……
49,TEXT_AKTKMK108_04742_ESTINIEN_000_005,看来阿珠达雅并不甘心就此身陷囹圄。<hex:02100103>我们不能辜负它的气概，一定要找到高贝扎隐藏的东西。
50,TEXT_AKTKMK108_04742_VRITRA_000_007,为了解除高贝扎的束缚，我们除了打倒他别无选择……<hex:02100103>请你也做好充分的准备。
51,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_010,好了，我们去寻找阿珠达雅提到的关于高贝扎的线索吧。<hex:02100103>其他家伙已经开始分头寻找了。
52,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_011,我在这附近转转，<hex:02100103>你再往南找找看。
53,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_020,你再往南找找，<hex:02100103>看有没有高贝扎的线索。
54,TEXT_AKTKMK108_04742_YSHTOLA_000_022,我粗略地查看了一下，<hex:02100103>从这里往西的方向好像什么也没有。<hex:02100103>你能到东南边看看吗？
55,TEXT_AKTKMK108_04742_ESTINIEN_000_024,这附近没有找到能称得上是线索的东西。<hex:02100103>或许再往南边一点会有什么？
56,TEXT_AKTKMK108_04742_VRITRA_000_026,这边的地表上可以说不存在任何的建筑物。<hex:02100103>姐姐提到的与高贝扎有关联的“东西”，<hex:02100103>或许也被藏在了避人耳目的地方……
57,TEXT_AKTKMK108_04742_SYSTEM_000_030,岩石的阴影下好像有什么东西在闪光……！
58,TEXT_AKTKMK108_04742_SYSTEM_000_035,要前往立方魔法阵吗？
59,TEXT_AKTKMK108_04742_YSHTOLA_000_040,大家都没事吧……？！
60,TEXT_AKTKMK108_04742_ESTINIEN_000_045,可恶……！<hex:02100103>该死的高贝扎……！
61,TEXT_AKTKMK108_04742_VRITRA_000_048,……
62,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_049,……暂且是回到了这边的世界。
63,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_050,
64,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_051,
65,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_052,
66,TEXT_AKTKMK108_04742_MYSTERIOUSPERSON_000_053,
