key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_SUBCTS605_04815_SEQ_00,知识神海港的泰奥波丹正在和拾穗人谈话。
1,TEXT_SUBCTS605_04815_SEQ_01,
2,TEXT_SUBCTS605_04815_SEQ_02,
3,TEXT_SUBCTS605_04815_SEQ_03,
4,TEXT_SUBCTS605_04815_SEQ_04,
5,TEXT_SUBCTS605_04815_SEQ_05,
6,TEXT_SUBCTS605_04815_SEQ_06,
7,TEXT_SUBCTS605_04815_SEQ_07,
8,TEXT_SUBCTS605_04815_SEQ_08,
9,TEXT_SUBCTS605_04815_SEQ_09,
10,TEXT_SUBCTS605_04815_SEQ_10,
11,TEXT_SUBCTS605_04815_SEQ_11,
12,TEXT_SUBCTS605_04815_SEQ_12,
13,TEXT_SUBCTS605_04815_SEQ_13,
14,TEXT_SUBCTS605_04815_SEQ_14,
15,TEXT_SUBCTS605_04815_SEQ_15,
16,TEXT_SUBCTS605_04815_SEQ_16,
17,TEXT_SUBCTS605_04815_SEQ_17,
18,TEXT_SUBCTS605_04815_SEQ_18,
19,TEXT_SUBCTS605_04815_SEQ_19,
20,TEXT_SUBCTS605_04815_SEQ_20,
21,TEXT_SUBCTS605_04815_SEQ_21,
22,TEXT_SUBCTS605_04815_SEQ_22,
23,TEXT_SUBCTS605_04815_SEQ_23,
24,TEXT_SUBCTS605_04815_TODO_00,和小萨雷安的正在休息的研究员对话
25,TEXT_SUBCTS605_04815_TODO_01,和泰奥波丹对话
26,TEXT_SUBCTS605_04815_TODO_02,
27,TEXT_SUBCTS605_04815_TODO_03,
28,TEXT_SUBCTS605_04815_TODO_04,
29,TEXT_SUBCTS605_04815_TODO_05,
30,TEXT_SUBCTS605_04815_TODO_06,
31,TEXT_SUBCTS605_04815_TODO_07,
32,TEXT_SUBCTS605_04815_TODO_08,
33,TEXT_SUBCTS605_04815_TODO_09,
34,TEXT_SUBCTS605_04815_TODO_10,
35,TEXT_SUBCTS605_04815_TODO_11,
36,TEXT_SUBCTS605_04815_TODO_12,
37,TEXT_SUBCTS605_04815_TODO_13,
38,TEXT_SUBCTS605_04815_TODO_14,
39,TEXT_SUBCTS605_04815_TODO_15,
40,TEXT_SUBCTS605_04815_TODO_16,
41,TEXT_SUBCTS605_04815_TODO_17,
42,TEXT_SUBCTS605_04815_TODO_18,
43,TEXT_SUBCTS605_04815_TODO_19,
44,TEXT_SUBCTS605_04815_TODO_20,
45,TEXT_SUBCTS605_04815_TODO_21,
46,TEXT_SUBCTS605_04815_TODO_22,
47,TEXT_SUBCTS605_04815_TODO_23,
48,TEXT_SUBCTS605_04815_THEOPAULDIN_000_000,我明白了，就按照这个方针进行吧。<hex:02100103>谢谢你将信件和消息带过来。
49,TEXT_SUBCTS605_04815_THEOPAULDIN_000_001,啊？！<hex:02100103>这不是解决了末日危机的英雄阁下吗！
50,TEXT_SUBCTS605_04815_THEOPAULDIN_000_002,居然能在这里遇到你，真是巧啊！<hex:02100103>解决末日危机后日子过得怎么样？<hex:02100103>还在和富尔什诺家的双胞胎一起做事吗？
51,TEXT_SUBCTS605_04815_THEOPAULDIN_000_003,看我激动的，<hex:02100103>咱们就只见过一次，估计你都忘了我是谁了。
52,TEXT_SUBCTS605_04815_THEOPAULDIN_000_004,重新介绍一下，我叫泰奥波丹。<hex:02100103>负责指挥在迷津工作的研究员们。
53,TEXT_SUBCTS605_04815_THEOPAULDIN_000_005,上次见面还是为了解决以太简并引擎的问题，<hex:02100103>那时你们来帮忙，我还给你们讲了一些有关富尔什诺的往事，<hex:02100103>说是往事，也不过都是一些琐碎的小事而已。
54,TEXT_SUBCTS605_04815_THEOPAULDIN_000_006,在末日骚动的最后，<hex:02100103>拂晓为这颗星球带回了最棒的结果。
55,TEXT_SUBCTS605_04815_THEOPAULDIN_000_007,多亏了你们的努力，<hex:02100103>我们这些研究员才能继续进行开发和研究工作。
56,TEXT_SUBCTS605_04815_Q1_000_008,要说什么？
57,TEXT_SUBCTS605_04815_A1_000_009,还在迷津进行研究工作？
58,TEXT_SUBCTS605_04815_A1_000_010,正在建造新的魔导船？
59,TEXT_SUBCTS605_04815_THEOPAULDIN_100_010,你是不是觉得魔导船完工之后我们就没事可做了？<hex:02100103>很遗憾，即便是现在我们每天仍旧有做不完的工作！<hex:02100103>也不知道这是好事还是坏事……
60,TEXT_SUBCTS605_04815_THEOPAULDIN_000_011,倒是有相关的计划，<hex:02100103>但不光如此哦！
61,TEXT_SUBCTS605_04815_THEOPAULDIN_000_012,机会难得，如果你有空的话，<hex:02100103>我带你去迷津看看吧。
62,TEXT_SUBCTS605_04815_THEOPAULDIN_000_013,不管怎么样我都要回下面去。<hex:02100103>毕竟拾穗人给研究员们带回来的东西有很多，<hex:02100103>每一样都要我费时费力地分发给每个人。
63,TEXT_SUBCTS605_04815_THEOPAULDIN_000_014,就这么决定了！<hex:02100103>相信研究员们也会很乐意你过去参观的！
64,TEXT_SUBCTS605_04815_THEOPAULDIN_000_015,不过该去谁那里看看呢……<hex:02100103>工作内容既与当下时代有关又能和英雄阁下聊得来的……
65,TEXT_SUBCTS605_04815_THEOPAULDIN_000_016,对了，我们去玛格拉特那里看看吧。<hex:02100103>她人可有趣了，正好我也有消息要转达给她，<hex:02100103>办事参观两不误。
66,TEXT_SUBCTS605_04815_THEOPAULDIN_000_017,那我们就赶快出发吧！<hex:02100103>她隶属的研究室在小萨雷安的东面。<hex:02100103>门口应该会有人在，我们去打声招呼吧。
67,TEXT_SUBCTS605_04815_THEOPAULDIN_000_020,就是这座建筑了。<hex:02100103>我先问问玛格拉特在不在。
68,TEXT_SUBCTS605_04815_RESEARCHER04815_000_030,你好，请问有什么事吗？
69,TEXT_SUBCTS605_04815_THEOPAULDIN_000_031,抱歉打扰你休息，<hex:02100103>请问玛格拉特在吗？
70,TEXT_SUBCTS605_04815_RESEARCHER04815_000_032,玛格拉特……呃……那个……<hex:02100103>应该在珍品资材院的订购窗口那边吧。
71,TEXT_SUBCTS605_04815_RESEARCHER04815_000_033,可能是去委托她要的东西了……<hex:02100103>也可能是去发牢骚了……
72,TEXT_SUBCTS605_04815_THEOPAULDIN_000_034,听到名字应该就能明白了，<hex:02100103>珍品资材院是负责管理研究必需品的部门。<hex:02100103>其中一个订购窗口就在小萨雷安。
73,TEXT_SUBCTS605_04815_THEOPAULDIN_000_035,不光是一般消耗品的采买，<hex:02100103>甚至还能帮忙向拾穗人总会发布委托，<hex:02100103>非常方便！
74,TEXT_SUBCTS605_04815_THEOPAULDIN_000_036,总之我们去看看吧，<hex:02100103>以太之光广场附近的建筑就是。
75,TEXT_SUBCTS605_04815_RESEARCHER04815_000_040,完了……泰奥波丹已经走了……<hex:02100103>抱歉，玛格拉特，希望不会出什么事……
76,TEXT_SUBCTS605_04815_THEOPAULDIN_000_050,我们到了，订购窗口就在里面。<hex:02100103>也不知道玛格拉特还在不在……
