key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZC204_05084_SEQ_00,
1,TEXT_KINGZC204_05084_SEQ_01,
2,TEXT_KINGZC204_05084_SEQ_02,
3,TEXT_KINGZC204_05084_SEQ_03,
4,TEXT_KINGZC204_05084_SEQ_04,
5,TEXT_KINGZC204_05084_SEQ_05,
6,TEXT_KINGZC204_05084_SEQ_06,
7,TEXT_KINGZC204_05084_SEQ_07,
8,TEXT_KINGZC204_05084_SEQ_08,
9,TEXT_KINGZC204_05084_SEQ_09,
10,TEXT_KINGZC204_05084_SEQ_10,
11,TEXT_KINGZC204_05084_SEQ_11,
12,TEXT_KINGZC204_05084_SEQ_12,
13,TEXT_KINGZC204_05084_SEQ_13,
14,TEXT_KINGZC204_05084_SEQ_14,
15,TEXT_KINGZC204_05084_SEQ_15,
16,TEXT_KINGZC204_05084_SEQ_16,
17,TEXT_KINGZC204_05084_SEQ_17,
18,TEXT_KINGZC204_05084_SEQ_18,
19,TEXT_KINGZC204_05084_SEQ_19,
20,TEXT_KINGZC204_05084_SEQ_20,
21,TEXT_KINGZC204_05084_SEQ_21,
22,TEXT_KINGZC204_05084_SEQ_22,
23,TEXT_KINGZC204_05084_SEQ_23,
24,TEXT_KINGZC204_05084_TODO_00,
25,TEXT_KINGZC204_05084_TODO_01,
26,TEXT_KINGZC204_05084_TODO_02,
27,TEXT_KINGZC204_05084_TODO_03,
28,TEXT_KINGZC204_05084_TODO_04,
29,TEXT_KINGZC204_05084_TODO_05,
30,TEXT_KINGZC204_05084_TODO_06,
31,TEXT_KINGZC204_05084_TODO_07,
32,TEXT_KINGZC204_05084_TODO_08,
33,TEXT_KINGZC204_05084_TODO_09,
34,TEXT_KINGZC204_05084_TODO_10,
35,TEXT_KINGZC204_05084_TODO_11,
36,TEXT_KINGZC204_05084_TODO_12,
37,TEXT_KINGZC204_05084_TODO_13,
38,TEXT_KINGZC204_05084_TODO_14,
39,TEXT_KINGZC204_05084_TODO_15,
40,TEXT_KINGZC204_05084_TODO_16,
41,TEXT_KINGZC204_05084_TODO_17,
42,TEXT_KINGZC204_05084_TODO_18,
43,TEXT_KINGZC204_05084_TODO_19,
44,TEXT_KINGZC204_05084_TODO_20,
45,TEXT_KINGZC204_05084_TODO_21,
46,TEXT_KINGZC204_05084_TODO_22,
47,TEXT_KINGZC204_05084_TODO_23,
48,TEXT_KINGZC204_05084_NAHANSHE_000_000,
49,TEXT_KINGZC204_05084_NAHANSHE_000_001,
50,TEXT_KINGZC204_05084_Q1_000_100,
51,TEXT_KINGZC204_05084_A1_000_100,
52,TEXT_KINGZC204_05084_A2_000_100,
53,TEXT_KINGZC204_05084_A3_000_100,
54,TEXT_KINGZC204_05084_NAHANSHE_000_005,
55,TEXT_KINGZC204_05084_NAHANSHE_000_010,
56,TEXT_KINGZC204_05084_NAHANSHE_000_015,
57,TEXT_KINGZC204_05084_NAHANSHE_000_020,
58,TEXT_KINGZC204_05084_NAHANSHE_000_021,
59,TEXT_KINGZC204_05084_OONUHALI_000_040,
60,TEXT_KINGZC204_05084_OONUHALI_000_041,
61,TEXT_KINGZC204_05084_GONUHANU_000_050,
62,TEXT_KINGZC204_05084_GONUHANU_000_051,
63,TEXT_KINGZC204_05084_GINUHALI_000_060,
64,TEXT_KINGZC204_05084_GINUHALI_000_061,
65,TEXT_KINGZC204_05084_OONUHALI_000_070,
66,TEXT_KINGZC204_05084_GONUHANU_000_075,
67,TEXT_KINGZC204_05084_GINUHALI_000_080,
68,TEXT_KINGZC204_05084_NAHANSHE_000_100,
69,TEXT_KINGZC204_05084_NAHANSHE_000_101,
70,TEXT_KINGZC204_05084_NAHANSHE_000_102,
71,TEXT_KINGZC204_05084_LANUHANU_000_103,
72,TEXT_KINGZC204_05084_LANUHANU_000_104,
73,TEXT_KINGZC204_05084_LANUHANU_000_105,
74,TEXT_KINGZC204_05084_NAHANSHE_000_106,
75,TEXT_KINGZC204_05084_NAHANSHE_000_107,
76,TEXT_KINGZC204_05084_LANUHANU_000_108,
77,TEXT_KINGZC204_05084_LANUHANU_000_109,
78,TEXT_KINGZC204_05084_LANUHANU_000_112,
79,TEXT_KINGZC204_05084_LANUHANU_000_115,
80,TEXT_KINGZC204_05084_ZULIHALI_000_120,
81,TEXT_KINGZC204_05084_ZULIHALI_000_121,
82,TEXT_KINGZC204_05084_ZULIHALI_000_130,
83,TEXT_KINGZC204_05084_NAHANSHE_000_131,
84,TEXT_KINGZC204_05084_NAHANSHE_000_132,
85,TEXT_KINGZC204_05084_NAHANSHE_000_133,
86,TEXT_KINGZC204_05084_NAHANSHE_000_134,
87,TEXT_KINGZC204_05084_NAHANSHE_000_135,
88,TEXT_KINGZC204_05084_ZULIHALI_000_136,
89,TEXT_KINGZC204_05084_NAHANSHE_000_137,
90,TEXT_KINGZC204_05084_NAHANSHE_000_138,
91,TEXT_KINGZC204_05084_NAHANSHE_000_139,
92,TEXT_KINGZC204_05084_ZULIHALI_000_140,
93,TEXT_KINGZC204_05084_NAHANSHE_000_141,
94,TEXT_KINGZC204_05084_LANUHANU_000_142,
95,TEXT_KINGZC204_05084_NAHANSHE_000_143,
96,TEXT_KINGZC204_05084_ZULIHALI_000_144,
97,TEXT_KINGZC204_05084_NAHANSHE_000_145,
98,TEXT_KINGZC204_05084_LANUHANU_000_146,
99,TEXT_KINGZC204_05084_ZULIHALI_000_147,
100,TEXT_KINGZC204_05084_NAHANSHE_000_148,
101,TEXT_KINGZC204_05084_ZULIHALI_000_149,
102,TEXT_KINGZC204_05084_NAHANSHE_000_150,
103,TEXT_KINGZC204_05084_LANUHANU_000_151,
104,TEXT_KINGZC204_05084_NAHANSHE_000_160,
105,TEXT_KINGZC204_05084_LANUHANU_000_180,
106,TEXT_KINGZC204_05084_LANUHANU_000_181,
107,TEXT_KINGZC204_05084_NAHANSHE_000_182,
108,TEXT_KINGZC204_05084_NAHANSHE_000_183,
109,TEXT_KINGZC204_05084_NAHANSHE_000_025,
