key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_BANPEL006_05198_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊规则： 等级调整（限定职业）<hex:0249020103><hex:0248020103><hex:02100103>水果码头的利普露似乎有话要对冒险者说。
1,TEXT_BANPEL006_05198_SEQ_01,※本任务为<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等级调整（限定职业）任务，<hex:02100103>　需要与接受任务时的职业相同才可继续进行任务。<hex:02100103><hex:02100103>和利普露进行了交谈，了解到水果码头有人在等自己。和水果码头的利普露谈谈。
2,TEXT_BANPEL006_05198_SEQ_02,和利普露进行了交谈。和玛布露一起听她讲了有关旅行公司的未来的计划。再次和水果码头的利普露谈谈。
3,TEXT_BANPEL006_05198_SEQ_03,和利普露进行了交谈。她在考虑今后也通过图拉尔旅行公司的各种活动来让各个地区重焕新生。步履不停，大路宽阔。祝愿他们前行途中一路都有图拉尔人民的欢声笑语相伴！
4,TEXT_BANPEL006_05198_SEQ_04,
5,TEXT_BANPEL006_05198_SEQ_05,
6,TEXT_BANPEL006_05198_SEQ_06,
7,TEXT_BANPEL006_05198_SEQ_07,
8,TEXT_BANPEL006_05198_SEQ_08,
9,TEXT_BANPEL006_05198_SEQ_09,
10,TEXT_BANPEL006_05198_SEQ_10,
11,TEXT_BANPEL006_05198_SEQ_11,
12,TEXT_BANPEL006_05198_SEQ_12,
13,TEXT_BANPEL006_05198_SEQ_13,
14,TEXT_BANPEL006_05198_SEQ_14,
15,TEXT_BANPEL006_05198_SEQ_15,
16,TEXT_BANPEL006_05198_SEQ_16,
17,TEXT_BANPEL006_05198_SEQ_17,
18,TEXT_BANPEL006_05198_SEQ_18,
19,TEXT_BANPEL006_05198_SEQ_19,
20,TEXT_BANPEL006_05198_SEQ_20,
21,TEXT_BANPEL006_05198_SEQ_21,
22,TEXT_BANPEL006_05198_SEQ_22,
23,TEXT_BANPEL006_05198_SEQ_23,
24,TEXT_BANPEL006_05198_TODO_00,和利普露对话
25,TEXT_BANPEL006_05198_TODO_01,再次和利普露对话
26,TEXT_BANPEL006_05198_TODO_02,
27,TEXT_BANPEL006_05198_TODO_03,
28,TEXT_BANPEL006_05198_TODO_04,
29,TEXT_BANPEL006_05198_TODO_05,
30,TEXT_BANPEL006_05198_TODO_06,
31,TEXT_BANPEL006_05198_TODO_07,
32,TEXT_BANPEL006_05198_TODO_08,
33,TEXT_BANPEL006_05198_TODO_09,
34,TEXT_BANPEL006_05198_TODO_10,
35,TEXT_BANPEL006_05198_TODO_11,
36,TEXT_BANPEL006_05198_TODO_12,
37,TEXT_BANPEL006_05198_TODO_13,
38,TEXT_BANPEL006_05198_TODO_14,
39,TEXT_BANPEL006_05198_TODO_15,
40,TEXT_BANPEL006_05198_TODO_16,
41,TEXT_BANPEL006_05198_TODO_17,
42,TEXT_BANPEL006_05198_TODO_18,
43,TEXT_BANPEL006_05198_TODO_19,
44,TEXT_BANPEL006_05198_TODO_20,
45,TEXT_BANPEL006_05198_TODO_21,
46,TEXT_BANPEL006_05198_TODO_22,
47,TEXT_BANPEL006_05198_TODO_23,
48,TEXT_BANPEL006_05198_LIPLU_000_000,欢迎你，<hex:022903EB0203>！<hex:02100103>多亏了你的活跃表现，旅行公司现在一切顺利，<hex:02100103>我们得到智理院认可一事流传开来，来观光的游客越来越多了！
49,TEXT_BANPEL006_05198_LIPLU_000_001,其实，接下来有一位特别的客人来访。<hex:02100103>要是你愿意的话，可不可以像以前一样和我一起去迎接呢？
50,TEXT_BANPEL006_05198_LIPLU_000_002,好耶好耶！谢谢你！<hex:02100103>客人马上就要到了……<hex:02100103>对了，我们就到智理院给我们颁发的纪念碑那边集合吧。
51,TEXT_BANPEL006_05198_LIPLU_000_003,谢谢你愿意腾出时间前来陪我。<hex:02100103>“她”应该也快到了才对……
52,TEXT_BANPEL006_05198_MABLU_000_010,呀吼——利普露！<hex:02100103>还有<hex:022903EB0203>，好久不见啦！
53,TEXT_BANPEL006_05198_LIPLU_000_011,好耶好耶，欢迎光临，玛布露！<hex:02100103>欢迎你来到图拉尔旅行公司——克扎玛乌卡事务所！
54,TEXT_BANPEL006_05198_LIPLU_000_012,正如你所见，我们的特别客人就是我的幼年玩伴玛布露啦。<hex:02100103>你大概也已经察觉到了，我们旅行公司的运营……<hex:02100103>其实都有玛布露在背后支援。
55,TEXT_BANPEL006_05198_LIPLU_000_013,不光是物资调配和重要事项的联络，<hex:02100103>连从各个交易对象那边打听来的传闻她都会告诉我。<hex:02100103>真的是帮了我很多很多忙！
56,TEXT_BANPEL006_05198_LIPLU_000_014,而且最重要的是，<hex:02100103>玛布露还把你引荐给了我……
57,TEXT_BANPEL006_05198_LIPLU_000_015,要是没有你们的话，<hex:02100103>这旅行公司大概也无法走到这么远。<hex:02100103>我真的，非常、非常感谢你们！
58,TEXT_BANPEL006_05198_MABLU_000_016,哈哈，我们彼此彼此啦。<hex:02100103>多亏了你，我也赚了不少呢。
59,TEXT_BANPEL006_05198_MABLU_000_017,话说回来，你还是和以前一样兢兢业业呢，<hex:02100103>居然和地方一起取得了来自国家的援助……<hex:02100103>作为拥有同样志向的商人，我也不能认输啊！
60,TEXT_BANPEL006_05198_LIPLU_000_018,其实，在玛布露成为旅行商人之后，<hex:02100103>找到了当时还在经营着羊驼绒床品店的我谈了桩生意。
61,TEXT_BANPEL006_05198_LIPLU_000_019,图拉尔的土地和人民都因为最近的事情多少受到了创伤，<hex:02100103>她就和我说，希望通过我们的专长来做些什么。
62,TEXT_BANPEL006_05198_MABLU_000_020,先有大暴雨摧毁了桥和台阶，交通受阻……<hex:02100103>后又遇古鲁加加大人驾崩……发生了这么多事，<hex:02100103>作为只会做买卖的商人，我也想做些让大家恢复活力的事情。
63,TEXT_BANPEL006_05198_MABLU_000_021,就在这时，我在你们凯旋归来的庆功宴上和各种人交谈，<hex:02100103>发现举国上下似乎都洋溢着想要了解彼此的气氛，<hex:02100103>所以我就找利普露，想和她商讨下能不能活用这一情况。
64,TEXT_BANPEL006_05198_LIPLU_000_022,于是，我就创立了这项观光事业。<hex:02100103>玛布露就一边作为旅行商人在各地往来，一边支援我们的工作。<hex:02100103>这么说来，我和玛布露就是致力于让图拉尔重焕活力的商人同盟呢！
65,TEXT_BANPEL006_05198_LIPLU_000_023,我想让观光事业进一步扩展，让人们和这片地区更加繁荣。<hex:02100103>所以接下来，我想借助大家的力量继续走下去！
66,TEXT_BANPEL006_05198_MABLU_000_026,经商惠民，牵系众人。<hex:02100103>这就是我们佩鲁佩鲁族的信条！<hex:02100103>今后我们也会尝试各种事情的！
67,TEXT_BANPEL006_05198_LIPLU_000_027,是啊，当然了！<hex:02100103>我心里的算盘告诉我，只要我们不忘记佩鲁佩鲁族的美德，<hex:02100103>我们就能走得更远！
