key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_FESANX101_05297_SEQ_00,※本任务是特定期间内的任务。<hex:02100103><hex:02100103>舰尾楼的异国的诗人正在寻找作诗的题材。
1,TEXT_FESANX101_05297_SEQ_01,※本任务只有在季节活动开放期间才能接受和进行。<hex:02100103>　季节活动结束后无法进行，敬请注意。<hex:02100103>　详情请参见官方网站。<hex:02100103><hex:02100103>和异国的诗人进行了交谈，决定去寻找离开了沉溺海豚亭的猫魅族少女尔·夏。和利姆萨·罗敏萨的拉诺西亚低地方向出口的科林雷尔谈谈。
2,TEXT_FESANX101_05297_SEQ_02,和科林雷尔进行了交谈，得知黄衫队正在处理这件事。和拉诺西亚低地暴风陆门的阿悠悠谈谈。
3,TEXT_FESANX101_05297_SEQ_03,和阿悠悠进行了交谈，冒险者决定帮助猫魅族少女。和暴风陆门的委托人尔·夏谈谈。
4,TEXT_FESANX101_05297_SEQ_04,和尔·夏进行了交谈，答应将她送到奥修昂火炬。完成尔·夏委托的同时也能实现异国的诗人的心愿，一举两得。
5,TEXT_FESANX101_05297_SEQ_05,
6,TEXT_FESANX101_05297_SEQ_06,
7,TEXT_FESANX101_05297_SEQ_07,
8,TEXT_FESANX101_05297_SEQ_08,
9,TEXT_FESANX101_05297_SEQ_09,
10,TEXT_FESANX101_05297_SEQ_10,
11,TEXT_FESANX101_05297_SEQ_11,
12,TEXT_FESANX101_05297_SEQ_12,
13,TEXT_FESANX101_05297_SEQ_13,
14,TEXT_FESANX101_05297_SEQ_14,
15,TEXT_FESANX101_05297_SEQ_15,
16,TEXT_FESANX101_05297_SEQ_16,
17,TEXT_FESANX101_05297_SEQ_17,
18,TEXT_FESANX101_05297_SEQ_18,
19,TEXT_FESANX101_05297_SEQ_19,
20,TEXT_FESANX101_05297_SEQ_20,
21,TEXT_FESANX101_05297_SEQ_21,
22,TEXT_FESANX101_05297_SEQ_22,
23,TEXT_FESANX101_05297_SEQ_23,
24,TEXT_FESANX101_05297_TODO_00,和科林雷尔对话
25,TEXT_FESANX101_05297_TODO_01,和暴风陆门的阿悠悠对话
26,TEXT_FESANX101_05297_TODO_02,和尔·夏对话
27,TEXT_FESANX101_05297_TODO_03,
28,TEXT_FESANX101_05297_TODO_04,
29,TEXT_FESANX101_05297_TODO_05,
30,TEXT_FESANX101_05297_TODO_06,
31,TEXT_FESANX101_05297_TODO_07,
32,TEXT_FESANX101_05297_TODO_08,
33,TEXT_FESANX101_05297_TODO_09,
34,TEXT_FESANX101_05297_TODO_10,
35,TEXT_FESANX101_05297_TODO_11,
36,TEXT_FESANX101_05297_TODO_12,
37,TEXT_FESANX101_05297_TODO_13,
38,TEXT_FESANX101_05297_TODO_14,
39,TEXT_FESANX101_05297_TODO_15,
40,TEXT_FESANX101_05297_TODO_16,
41,TEXT_FESANX101_05297_TODO_17,
42,TEXT_FESANX101_05297_TODO_18,
43,TEXT_FESANX101_05297_TODO_19,
44,TEXT_FESANX101_05297_TODO_20,
45,TEXT_FESANX101_05297_TODO_21,
46,TEXT_FESANX101_05297_TODO_22,
47,TEXT_FESANX101_05297_TODO_23,
48,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_001,哎呀，是你啊……<hex:02100103>真高兴见到你，看来海洋神利姆莱茵<hex:02100103>托西风把幸运带到了我身边呢。
49,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_002,咦，你是冒险者吧。<hex:02100103>能在这里相遇也是海洋神的眷顾……<hex:02100103>方便的话，可以耽误你一点时间吗？
50,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_003,其实我正在为新生庆典上的颂诗创作犯愁……<hex:02100103>正想听听能激发灵感的故事。<hex:02100103>若你愿意，可否帮我收集些见闻？
51,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_004,多谢，你这份热忱与好奇着实令我感动。
52,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_005,如你所知，新生庆典是悼念灵灾逝者的安魂之礼，<hex:02100103>更是抚慰生者心绪的祭典。<hex:02100103>听些让人重拾希望的故事，对诗歌创作也大有裨益。
53,TEXT_FESANX101_05297_WANDERINGMINSTREL_100_005,新生庆典是悼念灵灾逝者的安魂之礼，<hex:02100103>更是抚慰生者心绪的祭典。<hex:02100103>听些让人重拾希望的故事，对诗歌创作也大有裨益。
54,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_006,总站在此处闲聊未免太过扫兴。<hex:02100103>要说收集见闻，酒馆自是首选。<hex:02100103>不如同去沉溺海豚亭找巴德龙先生聊聊吧。
55,TEXT_FESANX101_05297_RTCHA_000_007,(-？？？？-)怎么就不行啊！小气大叔！<hex:02100103>注册一下会死人是怎么着！
56,TEXT_FESANX101_05297_BADERON_000_008,说多少遍不行就是不行。<hex:02100103>你这样明摆着出去就会送命的小鬼头，<hex:02100103>我怎么可能批准注册。
57,TEXT_FESANX101_05297_BADERON_000_009,不过……你是叫尔·夏来着？<hex:02100103>为啥非要当冒险者？
58,TEXT_FESANX101_05297_RTCHA_000_010,嘻嘻……人家现在有个非去不可的地方嘛！<hex:02100103>可小孩子单独出城的话，<hex:02100103>肯定会被黄衫队的卫兵拦下来呀。
59,TEXT_FESANX101_05297_RTCHA_000_011,不过嘛，要是成了冒险者，他们就无话可说啦！<hex:02100103>可以“责任自负”，想去哪就去哪，对吧？<hex:02100103>所以人家才要当冒险者嘛……求你啦！
60,TEXT_FESANX101_05297_BADERON_000_012,责任自负？负你个大头鬼。<hex:02100103>你这丫头是怎么冒出这种荒唐念头的……
61,TEXT_FESANX101_05297_BADERON_000_013,听着，虽然因人而异，<hex:02100103>但冒险者本质是承接市民委托的职业。
62,TEXT_FESANX101_05297_BADERON_000_014,要是放任没实力的孩子出去送死，<hex:02100103>不仅冒险者行会声誉受损，委托人也会良心不安。<hex:02100103>听叔一句劝，十年后再来申请吧。
63,TEXT_FESANX101_05297_RTCHA_000_015,呜……可新生庆典只有现在才有啊……<hex:02100103>小气抠门吝啬鬼！抠门的巴德龙！<hex:02100103>以后就叫你抠门龙好了！
64,TEXT_FESANX101_05297_BADERON_000_016,行，没问题，随你怎么叫。<hex:02100103>赶紧回家吃饭钻被窝睡觉去吧！
65,TEXT_FESANX101_05297_WANDERINGMINSTREL_000_017,打扰了，方才那孩子……？
66,TEXT_FESANX101_05297_BADERON_000_018,啊……抱歉，让二位见笑了。<hex:02100103>她是附近老缠着要注册冒险者的野丫头，<hex:02100103>刚被我轰走。
67,TEXT_FESANX101_05297_SDHODJBI_000_019,不过巴德龙，就这么直接放她走没问题吗？<hex:02100103>那丫头可不像是会乖乖死心的主啊。
68,TEXT_FESANX101_05297_BADERON_000_020,确实……她说什么有非去不可的地方，<hex:02100103>搞不好会溜出城。<hex:02100103>那样可就……
69,TEXT_FESANX101_05297_BADERON_000_021,不好意思，<hex:02100103>能不能麻烦二位去追尔·夏那丫头？<hex:02100103>店里实在离不开人，拜托了。
